Position,Track Name,Artist,Streams,Date,Position Diff
1,Bad and Boujee (feat. Lil Uzi Vert),Migos,1371493,2017-01-01,
2,Fake Love,Drake,1180074,2017-01-01,
3,Starboy,The Weeknd,1064351,2017-01-01,
4,Closer,The Chainsmokers,1010492,2017-01-01,
5,Black Beatles,Rae Sremmurd,874289,2017-01-01,
6,Broccoli (feat. Lil Yachty),DRAM,763259,2017-01-01,
7,One Dance,Drake,753150,2017-01-01,
8,Caroline,Aminé,714839,2017-01-01,
9,Let Me Love You,DJ Snake,690483,2017-01-01,
10,Bounce Back,Big Sean,682688,2017-01-01,
11,I Feel It Coming,The Weeknd,651807,2017-01-01,
12,24K Magic,Bruno Mars,574974,2017-01-01,
13,Bad Things (with Camila Cabello),Machine Gun Kelly,567789,2017-01-01,
14,X (feat. Future),21 Savage,544620,2017-01-01,
15,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,507450,2017-01-01,
16,Don't Wanna Know,Maroon 5,486364,2017-01-01,
17,Chill Bill,Rob $tone,485127,2017-01-01,
18,Deja Vu,J. Cole,478503,2017-01-01,
19,OOOUUU,Young M.A,456308,2017-01-01,
20,Party Monster,The Weeknd,456291,2017-01-01,
21,No Problem (feat. Lil Wayne & 2 Chainz),Chance The Rapper,449345,2017-01-01,
22,No Heart,21 Savage,447063,2017-01-01,
23,Starving,Hailee Steinfeld,446785,2017-01-01,
24,Don't Let Me Down,The Chainsmokers,446177,2017-01-01,
25,Side To Side,Ariana Grande,440123,2017-01-01,
26,Treat You Better,Shawn Mendes,438954,2017-01-01,
27,In the Name of Love,Martin Garrix,435945,2017-01-01,
28,Sneakin’,Drake,419434,2017-01-01,
29,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,417329,2017-01-01,
30,Work from Home,Fifth Harmony,405483,2017-01-01,
31,Heathens,Twenty One Pilots,401620,2017-01-01,
32,You Was Right,Lil Uzi Vert,401546,2017-01-01,
33,Into You,Ariana Grande,370887,2017-01-01,
34,Too Good,Drake,368536,2017-01-01,
35,Controlla,Drake,365140,2017-01-01,
36,This Is What You Came For,Calvin Harris,362959,2017-01-01,
37,Say You Won't Let Go,James Arthur,361392,2017-01-01,
38,All We Know,The Chainsmokers,351014,2017-01-01,
39,pick up the phone,Young Thug,350286,2017-01-01,
40,iSpy (feat. Lil Yachty),KYLE,349836,2017-01-01,
41,Cheap Thrills,Sia,345244,2017-01-01,
42,Needed Me,Rihanna,342524,2017-01-01,
43,Cold Water (feat. Justin Bieber & MØ),Major Lazer,342437,2017-01-01,
44,Panda,Desiigner,332310,2017-01-01,
45,Scars To Your Beautiful,Alessia Cara,331379,2017-01-01,
46,Mercy,Shawn Mendes,323626,2017-01-01,
47,Neighbors,J. Cole,317884,2017-01-01,
48,Work,Rihanna,316050,2017-01-01,
49,Call On Me - Ryan Riback Extended Remix,Starley,313819,2017-01-01,
50,Swang,Rae Sremmurd,308264,2017-01-01,
51,Six Feet Under,The Weeknd,307482,2017-01-01,
52,"How Far I'll Go - From ""Moana""",Alessia Cara,305401,2017-01-01,
53,Send My Love (To Your New Lover),Adele,302383,2017-01-01,
54,Love Me Now,John Legend,301472,2017-01-01,
55,Love Yourself,Justin Bieber,300179,2017-01-01,
56,Juju On That Beat (TZ Anthem),Zay Hilfigerrr,299010,2017-01-01,
57,Jumpman,Drake,297396,2017-01-01,
58,Sidewalks,The Weeknd,295550,2017-01-01,
59,I Want You Back,The Jackson 5,284664,2017-01-01,
60,Cake By The Ocean,DNCE,282236,2017-01-01,
61,Low Life,Future,278813,2017-01-01,
62,goosebumps,Travis Scott,276401,2017-01-01,
63,Redbone,Childish Gambino,272870,2017-01-01,
64,Just Hold On,Steve Aoki,272841,2017-01-01,
65,Billie Jean,Michael Jackson,269981,2017-01-01,
66,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,265739,2017-01-01,
67,Immortal,J. Cole,264865,2017-01-01,
68,Ride,Twenty One Pilots,264707,2017-01-01,
69,Ain't No Mountain High Enough,Marvin Gaye,260834,2017-01-01,
70,Money Longer,Lil Uzi Vert,259985,2017-01-01,
71,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,258637,2017-01-01,
72,No Role Modelz,J. Cole,253285,2017-01-01,
73,Used to This,Future,249166,2017-01-01,
74,Chantaje,Shakira,244295,2017-01-01,
75,Pumped Up Kicks,Foster The People,242742,2017-01-01,
76,Some Kind Of Drug,G-Eazy,236873,2017-01-01,
77,Too Much Sauce,DJ Esco,235274,2017-01-01,
78,Now and Later,Sage The Gemini,233690,2017-01-01,
79,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,233185,2017-01-01,
80,"Happy - From ""Despicable Me 2""",Pharrell Williams,233169,2017-01-01,
81,Reminder,The Weeknd,232197,2017-01-01,
82,All Time Low,Jon Bellion,231839,2017-01-01,
83,One Night,Lil Yachty,227622,2017-01-01,
84,Paper Planes,M.I.A.,227569,2017-01-01,
85,Stressed Out,Twenty One Pilots,227187,2017-01-01,
86,Titanium (feat. Sia),David Guetta,226512,2017-01-01,
87,Bohemian Rhapsody - Remastered 2011,Queen,223789,2017-01-01,
88,White Iverson,Post Malone,221512,2017-01-01,
89,All Night,The Vamps,220922,2017-01-01,
90,Trust Nobody (feat. Selena Gomez & Tory Lanez),Cashmere Cat,219337,2017-01-01,
91,"Me, Myself & I",G-Eazy,217132,2017-01-01,
